DATE,T10YIE
2021-04-14,2.33
2021-04-15,2.33
2021-04-16,2.36
2021-04-19,2.34
2021-04-20,2.32
2021-04-21,2.33
2021-04-22,2.33
2021-04-23,2.34
2021-04-26,2.36
2021-04-27,2.39
2021-04-28,2.41
2021-04-29,2.42
2021-04-30,2.41
2021-05-03,2.42
2021-05-04,2.42
2021-05-05,2.47
2021-05-06,2.45
2021-05-07,2.49
2021-05-10,2.54
2021-05-11,2.53
2021-05-12,2.54
2021-05-13,2.51
2021-05-14,2.51
2021-05-17,2.54
2021-05-18,2.52
2021-05-19,2.48
2021-05-20,2.41
2021-05-21,2.43
2021-05-24,2.44
2021-05-25,2.42
2021-05-26,2.4
2021-05-27,2.42
2021-05-28,2.42
